2019-07-15 174008	start: ICSMA-19-192-01---
2019-07-15 174009	ICSMA-19-192-01 error column: ['vulnerability_overview']
2019-07-15 174010	start: ICSA-19-192-01---
2019-07-15 174010	update ICSA-19-192-01
2019-07-15 174011	start: ICSA-19-192-02---
2019-07-15 174012	update ICSA-19-192-02
2019-07-15 174013	start: ICSA-19-192-03---
2019-07-15 174013	ICSA-19-192-03 error column: ['vulnerability_overview']
2019-07-15 174014	start: ICSA-19-192-04---
2019-07-15 174014	ICSA-19-192-04 error column: ['vulnerability_overview']
2019-07-15 174016	start: ICSA-19-192-05---
2019-07-15 174016	ICSA-19-192-05 error column: ['vulnerability_overview']
2019-07-15 174017	start: ICSA-19-192-06---
2019-07-15 174017	ICSA-19-192-06 error column: ['product']
2019-07-15 174018	start: ICSA-19-192-07---
2019-07-15 174018	update ICSA-19-192-07
2019-07-15 174020	start: ICSMA-19-190-01---
2019-07-15 174020	update ICSMA-19-190-01
2019-07-15 174020	start: ICSA-19-190-01---
2019-07-15 174021	update ICSA-19-190-01
2019-07-15 174022	start: ICSA-19-190-02---
2019-07-15 174022	update ICSA-19-190-02
2019-07-15 174022	start: ICSA-19-190-03---
2019-07-15 174023	update ICSA-19-190-03
2019-07-15 174023	start: ICSA-19-190-04---
2019-07-15 174023	update ICSA-19-190-04
2019-07-15 174025	start: ICSA-19-190-05---
2019-07-15 174025	update ICSA-19-190-05
2019-07-15 174025	start: ICSA-19-183-01---
2019-07-15 174026	update ICSA-19-183-01
2019-07-15 174027	start: ICSA-19-183-02---
2019-07-15 174027	ICSA-19-183-02 error column: ['vulnerability_overview']
2019-07-15 174028	start: ICSMA-19-178-01---
2019-07-15 174029	update ICSMA-19-178-01
2019-07-15 174030	start: ICSA-19-178-01---
2019-07-15 174030	update ICSA-19-178-01
2019-07-15 174031	start: ICSA-19-178-02---
2019-07-15 174032	update ICSA-19-178-02
2019-07-15 174033	start: ICSA-19-178-03---
2019-07-15 174033	update ICSA-19-178-03
2019-07-15 174034	start: ICSA-19-178-04---
2019-07-15 174034	update ICSA-19-178-04
2019-07-15 174035	start: ICSA-19-178-05---
2019-07-15 174036	update ICSA-19-178-05
2019-07-15 174037	start: ICSA-19-171-01---
2019-07-15 174037	update ICSA-19-171-01
2019-07-15 174038	start: ICSMA-19-164-01---
2019-07-15 174038	update ICSMA-19-164-01
2019-07-15 174039	start: ICSA-19-164-01---
2019-07-15 174039	update ICSA-19-164-01
