2019-07-15 174335	start: ICSMA-19-192-01---
2019-07-15 174336	ICSMA-19-192-01 error column: ['vulnerability_overview']
2019-07-15 174336	start: ICSA-19-192-01---
2019-07-15 174336	update ICSA-19-192-01
2019-07-15 174336	start: ICSA-19-192-02---
2019-07-15 174336	update ICSA-19-192-02
2019-07-15 174336	start: ICSA-19-192-03---
2019-07-15 174337	ICSA-19-192-03 error column: ['vulnerability_overview']
2019-07-15 174337	start: ICSA-19-192-04---
2019-07-15 174337	ICSA-19-192-04 error column: ['vulnerability_overview']
2019-07-15 174337	start: ICSA-19-192-05---
2019-07-15 174338	ICSA-19-192-05 error column: ['vulnerability_overview']
2019-07-15 174338	start: ICSA-19-192-06---
2019-07-15 174338	ICSA-19-192-06 error column: ['product']
2019-07-15 174338	start: ICSA-19-192-07---
2019-07-15 174339	update ICSA-19-192-07
2019-07-15 174339	start: ICSMA-19-190-01---
2019-07-15 174339	update ICSMA-19-190-01
2019-07-15 174339	start: ICSA-19-190-01---
2019-07-15 174339	update ICSA-19-190-01
2019-07-15 174340	start: ICSA-19-190-02---
2019-07-15 174340	update ICSA-19-190-02
2019-07-15 174340	start: ICSA-19-190-03---
2019-07-15 174340	update ICSA-19-190-03
2019-07-15 174340	start: ICSA-19-190-04---
2019-07-15 174340	update ICSA-19-190-04
2019-07-15 174340	start: ICSA-19-190-05---
2019-07-15 174340	update ICSA-19-190-05
2019-07-15 174340	start: ICSA-19-183-01---
2019-07-15 174341	update ICSA-19-183-01
2019-07-15 174341	start: ICSA-19-183-02---
2019-07-15 174341	ICSA-19-183-02 error column: ['vulnerability_overview']
2019-07-15 174341	start: ICSMA-19-178-01---
2019-07-15 174341	update ICSMA-19-178-01
2019-07-15 174341	start: ICSA-19-178-01---
2019-07-15 174342	update ICSA-19-178-01
2019-07-15 174342	start: ICSA-19-178-02---
2019-07-15 174342	update ICSA-19-178-02
2019-07-15 174342	start: ICSA-19-178-03---
2019-07-15 174342	update ICSA-19-178-03
2019-07-15 174342	start: ICSA-19-178-04---
2019-07-15 174342	update ICSA-19-178-04
2019-07-15 174343	start: ICSA-19-178-05---
2019-07-15 174343	update ICSA-19-178-05
2019-07-15 174343	start: ICSA-19-171-01---
2019-07-15 174344	update ICSA-19-171-01
2019-07-15 174344	start: ICSMA-19-164-01---
2019-07-15 174344	update ICSMA-19-164-01
2019-07-15 174344	start: ICSA-19-164-01---
2019-07-15 174345	update ICSA-19-164-01
