2019-07-15 180100	start: ICSA-19-099-03---
2019-07-15 180101	update ICSA-19-099-03
2019-07-15 180103	start: ICSA-19-099-04---
2019-07-15 180103	update ICSA-19-099-04
2019-07-15 180107	start: ICSA-19-099-05---
2019-07-15 180107	update ICSA-19-099-05
2019-07-15 180108	start: ICSA-19-099-06---
2019-07-15 180109	update ICSA-19-099-06
2019-07-15 180109	start: ICSA-19-094-01---
2019-07-15 180109	update ICSA-19-094-01
2019-07-15 180111	start: ICSA-19-094-02---
2019-07-15 180111	error linkhttps://www.us-cert.gov/ics/advisories/ICSA-19-094-02
2019-07-15 180111	start: ICSA-19-094-03---
2019-07-15 180111	update ICSA-19-094-03
2019-07-15 180112	start: ICSA-19-094-04---
2019-07-15 180112	update ICSA-19-094-04
2019-07-15 180112	start: ICSA-19-092-01---
2019-07-15 180113	update ICSA-19-092-01
2019-07-15 180113	start: ICSA-19-087-01---
2019-07-15 180113	update ICSA-19-087-01
2019-07-15 180114	start: ICSA-19-085-01---
2019-07-15 180114	update ICSA-19-085-01
2019-07-15 180115	start: ICSA-19-085-02---
2019-07-15 180115	update ICSA-19-085-02
2019-07-15 180115	start: ICSA-19-085-03---
2019-07-15 180116	update ICSA-19-085-03
2019-07-15 180116	start: ICSMA-19-080-01---
2019-07-15 180116	error linkhttps://www.us-cert.gov/ics/advisories/ICSMA-19-080-01
2019-07-15 180118	start: ICSA-19-078-01---
2019-07-15 180119	update ICSA-19-078-01
2019-07-15 180121	start: ICSA-19-078-02---
2019-07-15 180122	update ICSA-19-078-02
2019-07-15 180123	start: ICSA-19-073-01---
2019-07-15 180123	update ICSA-19-073-01
2019-07-15 180125	start: ICSA-19-073-02---
2019-07-15 180125	update ICSA-19-073-02
2019-07-15 180126	start: ICSA-19-073-03---
2019-07-15 180126	update ICSA-19-073-03
2019-07-15 180128	start: ICSA-19-064-01---
2019-07-15 180128	update ICSA-19-064-01
2019-07-15 180129	start: ICSA-19-059-01---
2019-07-15 180129	update ICSA-19-059-01
2019-07-15 180129	start: ICSA-19-057-01---
2019-07-15 180130	update ICSA-19-057-01
2019-07-15 180131	start: ICSA-19-050-01---
2019-07-15 180132	update ICSA-19-050-01
2019-07-15 180134	start: ICSA-19-050-02---
2019-07-15 180134	update ICSA-19-050-02
2019-07-15 180135	start: ICSA-19-050-03---
2019-07-15 180135	update ICSA-19-050-03
2019-07-15 180138	start: ICSA-19-050-04---
2019-07-15 180138	update ICSA-19-050-04
2019-07-15 180139	start: ICSA-19-045-01---
2019-07-15 180139	update ICSA-19-045-01
2019-07-15 180141	start: ICSA-18-310-01---
2019-07-15 180141	update ICSA-18-310-01
2019-07-15 180142	start: ICSA-19-043-01---
2019-07-15 180142	error linkhttps://www.us-cert.gov/ics/advisories/ICSA-19-043-01
2019-07-15 180144	start: ICSA-19-043-02---
2019-07-15 180145	update ICSA-19-043-02
2019-07-15 180145	start: ICSA-19-043-03---
2019-07-15 180145	update ICSA-19-043-03
2019-07-15 180146	start: ICSA-19-043-04---
2019-07-15 180147	start: ICSA-19-043-05---
2019-07-15 180147	update ICSA-19-043-05
2019-07-15 180149	start: ICSA-19-043-06---
2019-07-15 180151	start: ICSA-19-038-01---
2019-07-15 180151	update ICSA-19-038-01
2019-07-15 180153	start: ICSA-19-038-02---
2019-07-15 180154	start: ICSA-19-036-01---
2019-07-15 180156	start: ICSA-19-036-02---
2019-07-15 180156	update ICSA-19-036-02
2019-07-15 180158	start: ICSA-19-036-03---
2019-07-15 180158	update ICSA-19-036-03
2019-07-15 180159	start: ICSA-19-036-04---
2019-07-15 180159	update ICSA-19-036-04
