2019-06-11 121000	,	開始抓certeu的資料
2019-06-11 121004	,	新增: https://finance.sina.com.cn/roll/2019-06-11/doc-ihvhiqay4847254.shtml
2019-06-11 121004	,	新增: https://finance.sina.com.cn/roll/2019-06-11/doc-ihvhiews8040085.shtml
2019-06-11 121004	,	新增: http://www.economiematin.fr/news-boom-internet-objet-enjeux-securite-
2019-06-11 121004	,	新增: https://www.itnews.com.au/news/putin-stands-by-china-criticises-us-in-trade-huawei-disputes-526441?utm_source=feed&utm_medium=rss&utm_campaign=iTnews+Technology+feed
2019-06-11 121004	,	新增: https://www.wnd.com/2019/06/democrats-in-congress-urged-to-rejoin-reality/
2019-06-11 121004	,	新增: http://cyberlaw.stanford.edu/press/russias-yandex-reportedly-ordered-fsb-hand-over-encryption-keys
2019-06-11 121004	,	新增: http://cyberlaw.stanford.edu/press/apple-created-privacy-dystopia-it-wants-save-you
2019-06-11 121004	,	新增: http://cyberlaw.stanford.edu/press/give-your-password-or-go-jail-police-push-legal-boundaries-get-cellphones
2019-06-11 121004	,	新增: http://www.digitaljournal.com/news/world/cubans-left-frustrated-by-slow-and-costly-internet-rollout/article/551715
2019-06-11 121004	,	新增: https://insidecybersecurity.com/daily-news/agas-jim-linn-industry-finds-growing-value-doe-sharing-cyber-threat-intelligence
2019-06-11 121004	,	新增: https://www.thedailybeast.com/us-customs-and-border-protection-database-of-traveler-information-hacked-in-malicious-cyber-attack
2019-06-11 121004	,	新增: https://www.thestar.com.my/tech/tech-news/2019/06/11/microsoft-wants-more-security-researchers-to-hack-into-its-cloud/
2019-06-11 121004	,	新增: https://www.watoday.com.au/business/small-business/the-us-unicorn-preparing-aussies-for-the-end-of-passwords-20190611-p51wf6.html?ref=rss&utm_medium=rss&utm_source=rss_feed
2019-06-11 121004	,	新增: https://gixtools.net/2019/06/istio-improper-internet-access-control-vulnerability/
2019-06-11 121004	,	新增: https://tech.slashdot.org/story/19/06/10/238213/facebook-turned-off-search-features-used-to-catch-war-criminals-child-predators-and-other-bad-actors?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+Slashdot%2Fslashdot+%28Slashdot%29
2019-06-11 121004	,	新增: https://abcnews.go.com/Politics/government-surveillance-photos-travelers-hacked-malicious-cyber-attack/story?id=63617531
2019-06-11 121004	,	新增: https://www.us-cert.gov/ncas/current-activity/2019/06/10/CIS-Releases-2018-Year-Review
2019-06-11 121004	,	新增: https://cyberstartupobservatory.com/ai-ml-cybersecurity/
2019-06-11 121004	,	新增: https://www.9ine.uk.com/newsblog/gdpr-summary
